attempt_id,familia,subtipo,n_tx,n_tx_mapeadas
201,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
202,RANDOM,RANDOM:  Max 2 hops,2,2
203,BIPARTITE,BIPARTITE,4,4
204,SCATTER-GATHER,SCATTER-GATHER,26,26
205,RANDOM,RANDOM:  Max 8 hops,8,8
206,RANDOM,RANDOM:  Max 3 hops,3,3
207,FAN-OUT,FAN-OUT:  Max 4-degree Fan-Out,4,4
208,FAN-IN,FAN-IN:  Max 2-degree Fan-In,2,2
209,STACK,STACK,16,16
210,FAN-IN,FAN-IN:  Max 11-degree Fan-In,11,11
211,FAN-OUT,FAN-OUT:  Max 16-degree Fan-Out,16,16
212,SCATTER-GATHER,SCATTER-GATHER,16,16
213,STACK,STACK,4,4
214,GATHER-SCATTER,GATHER-SCATTER:  Max 15-degree Fan-In,21,21
215,FAN-OUT,FAN-OUT:  Max 13-degree Fan-Out,13,13
216,RANDOM,RANDOM:  Max 1 hops,1,1
217,CYCLE,CYCLE:  Max 12 hops,12,12
218,FAN-OUT,FAN-OUT:  Max 16-degree Fan-Out,16,16
219,CYCLE,CYCLE:  Max 7 hops,7,7
220,RANDOM,RANDOM:  Max 10 hops,10,10
221,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,5,5
222,CYCLE,CYCLE:  Max 4 hops,4,4
223,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
224,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
225,STACK,STACK,22,22
226,SCATTER-GATHER,SCATTER-GATHER,6,6
227,SCATTER-GATHER,SCATTER-GATHER,18,18
228,GATHER-SCATTER,GATHER-SCATTER:  Max 6-degree Fan-In,12,12
229,CYCLE,CYCLE:  Max 4 hops,4,4
230,STACK,STACK,12,12
231,CYCLE,CYCLE:  Max 7 hops,7,7
232,RANDOM,RANDOM:  Max 1 hops,1,1
233,BIPARTITE,BIPARTITE,8,8
234,STACK,STACK,2,2
235,SCATTER-GATHER,SCATTER-GATHER,26,26
236,FAN-OUT,FAN-OUT:  Max 6-degree Fan-Out,6,6
237,RANDOM,RANDOM:  Max 1 hops,1,1
238,STACK,STACK,14,14
239,STACK,STACK,30,30
240,SCATTER-GATHER,SCATTER-GATHER,2,2
241,BIPARTITE,BIPARTITE,13,13
242,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
243,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
244,BIPARTITE,BIPARTITE,12,12
245,CYCLE,CYCLE:  Max 3 hops,3,3
246,FAN-OUT,FAN-OUT:  Max 13-degree Fan-Out,13,13
247,CYCLE,CYCLE:  Max 5 hops,5,5
248,CYCLE,CYCLE:  Max 5 hops,5,5
249,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
250,FAN-IN,FAN-IN:  Max 8-degree Fan-In,8,8
251,FAN-OUT,FAN-OUT:  Max 14-degree Fan-Out,14,14
252,FAN-IN,FAN-IN:  Max 8-degree Fan-In,8,8
253,FAN-OUT,FAN-OUT:  Max 12-degree Fan-Out,12,12
254,SCATTER-GATHER,SCATTER-GATHER,12,12
255,STACK,STACK,16,16
256,BIPARTITE,BIPARTITE,1,1
257,CYCLE,CYCLE:  Max 8 hops,8,8
258,GATHER-SCATTER,GATHER-SCATTER:  Max 3-degree Fan-In,6,6
259,STACK,STACK,10,10
260,STACK,STACK,2,2
261,STACK,STACK,14,14
262,CYCLE,CYCLE:  Max 2 hops,2,2
263,RANDOM,RANDOM:  Max 6 hops,6,6
264,BIPARTITE,BIPARTITE,13,13
265,STACK,STACK,16,16
266,BIPARTITE,BIPARTITE,1,1
267,BIPARTITE,BIPARTITE,1,1
268,SCATTER-GATHER,SCATTER-GATHER,26,26
269,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
270,SCATTER-GATHER,SCATTER-GATHER,22,22
271,SCATTER-GATHER,SCATTER-GATHER,12,12
272,GATHER-SCATTER,GATHER-SCATTER:  Max 9-degree Fan-In,14,14
273,FAN-IN,FAN-IN:  Max 10-degree Fan-In,10,10
274,BIPARTITE,BIPARTITE,1,1
275,CYCLE,CYCLE:  Max 2 hops,2,2
276,FAN-IN,FAN-IN:  Max 3-degree Fan-In,3,3
277,BIPARTITE,BIPARTITE,9,9
278,RANDOM,RANDOM:  Max 1 hops,1,1
279,RANDOM,RANDOM:  Max 1 hops,1,1
280,GATHER-SCATTER,GATHER-SCATTER:  Max 7-degree Fan-In,9,9
281,CYCLE,CYCLE:  Max 8 hops,8,8
282,FAN-OUT,FAN-OUT:  Max 7-degree Fan-Out,7,7
283,STACK,STACK,14,14
284,FAN-IN,FAN-IN:  Max 16-degree Fan-In,16,16
285,FAN-IN,FAN-IN:  Max 2-degree Fan-In,2,2
286,BIPARTITE,BIPARTITE,1,1
287,SCATTER-GATHER,SCATTER-GATHER,26,26
288,FAN-IN,FAN-IN:  Max 2-degree Fan-In,2,2
289,RANDOM,RANDOM:  Max 8 hops,8,8
290,RANDOM,RANDOM:  Max 5 hops,5,5
291,BIPARTITE,BIPARTITE,1,1
292,CYCLE,CYCLE:  Max 11 hops,11,11
293,SCATTER-GATHER,SCATTER-GATHER,4,4
294,CYCLE,CYCLE:  Max 10 hops,10,10
295,CYCLE,CYCLE:  Max 7 hops,7,7
296,SCATTER-GATHER,SCATTER-GATHER,2,2
297,FAN-IN,FAN-IN:  Max 11-degree Fan-In,11,11
298,SCATTER-GATHER,SCATTER-GATHER,6,6
299,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,22,22
300,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
301,BIPARTITE,BIPARTITE,9,9
302,BIPARTITE,BIPARTITE,1,1
303,GATHER-SCATTER,GATHER-SCATTER:  Max 12-degree Fan-In,27,27
304,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
305,GATHER-SCATTER,GATHER-SCATTER:  Max 12-degree Fan-In,26,26
306,FAN-OUT,FAN-OUT:  Max 16-degree Fan-Out,16,16
307,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,8,8
308,GATHER-SCATTER,GATHER-SCATTER:  Max 7-degree Fan-In,11,11
309,FAN-IN,FAN-IN:  Max 1-degree Fan-In,1,1
310,FAN-IN,FAN-IN:  Max 1-degree Fan-In,1,1
311,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
312,FAN-OUT,FAN-OUT:  Max 3-degree Fan-Out,3,3
313,BIPARTITE,BIPARTITE,4,4
314,RANDOM,RANDOM:  Max 1 hops,1,1
315,FAN-OUT,FAN-OUT:  Max 11-degree Fan-Out,11,11
316,SCATTER-GATHER,SCATTER-GATHER,24,24
317,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
318,FAN-OUT,FAN-OUT:  Max 8-degree Fan-Out,8,8
319,FAN-OUT,FAN-OUT:  Max 15-degree Fan-Out,15,15
320,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,25,25
321,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
322,RANDOM,RANDOM:  Max 9 hops,9,9
323,CYCLE,CYCLE:  Max 10 hops,10,10
324,GATHER-SCATTER,GATHER-SCATTER:  Max 15-degree Fan-In,17,17
325,SCATTER-GATHER,SCATTER-GATHER,2,2
326,RANDOM,RANDOM:  Max 3 hops,3,3
327,STACK,STACK,2,2
328,RANDOM,RANDOM:  Max 11 hops,11,11
329,BIPARTITE,BIPARTITE,1,1
330,GATHER-SCATTER,GATHER-SCATTER:  Max 14-degree Fan-In,26,26
331,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,17,17
332,RANDOM,RANDOM:  Max 8 hops,8,8
333,SCATTER-GATHER,SCATTER-GATHER,32,32
334,CYCLE,CYCLE:  Max 2 hops,2,2
335,SCATTER-GATHER,SCATTER-GATHER,2,2
336,CYCLE,CYCLE:  Max 4 hops,4,4
337,BIPARTITE,BIPARTITE,6,6
338,SCATTER-GATHER,SCATTER-GATHER,2,2
339,FAN-IN,FAN-IN:  Max 5-degree Fan-In,5,5
340,RANDOM,RANDOM:  Max 10 hops,10,10
341,RANDOM,RANDOM:  Max 8 hops,8,8
342,STACK,STACK,2,2
343,BIPARTITE,BIPARTITE,8,8
344,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,15,15
345,GATHER-SCATTER,GATHER-SCATTER:  Max 8-degree Fan-In,22,22
346,FAN-IN,FAN-IN:  Max 6-degree Fan-In,6,6
347,BIPARTITE,BIPARTITE,9,9
348,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
349,CYCLE,CYCLE:  Max 8 hops,8,8
350,RANDOM,RANDOM:  Max 1 hops,1,1
351,FAN-IN,FAN-IN:  Max 8-degree Fan-In,8,8
352,FAN-OUT,FAN-OUT:  Max 13-degree Fan-Out,13,13
353,FAN-OUT,FAN-OUT:  Max 10-degree Fan-Out,10,10
354,STACK,STACK,2,2
355,SCATTER-GATHER,SCATTER-GATHER,14,14
356,CYCLE,CYCLE:  Max 11 hops,11,11
357,BIPARTITE,BIPARTITE,1,1
358,STACK,STACK,10,10
359,GATHER-SCATTER,GATHER-SCATTER:  Max 13-degree Fan-In,26,26
360,SCATTER-GATHER,SCATTER-GATHER,28,28
361,GATHER-SCATTER,GATHER-SCATTER:  Max 3-degree Fan-In,6,6
362,STACK,STACK,2,2
363,RANDOM,RANDOM:  Max 1 hops,1,1
364,GATHER-SCATTER,GATHER-SCATTER:  Max 5-degree Fan-In,7,7
365,BIPARTITE,BIPARTITE,1,1
366,CYCLE,CYCLE:  Max 3 hops,3,3
367,FAN-IN,FAN-IN:  Max 12-degree Fan-In,12,12
368,RANDOM,RANDOM:  Max 1 hops,1,1
369,BIPARTITE,BIPARTITE,1,1
